IB_EC3 ID	CNV calling group
M10995	QH
M10997	QH
M11004	QH
M11007	QH
M11010	QH
M11012	QH
M11015	QH
M11016	QH
M11018	QH
M11019	QH
M11021	QH
M11023	QH
M11024	QH
M4467	QH
M4472	QH
M4475	QH
M4476	QH
M4513	QH
M4514	QH
M4515	QH
M4527	QH
BROOKS3147	Shetland
M4814	Shetland
M4815	Shetland
M4826	Shetland
SRR3900348	Shetland
SRR3900349	Shetland
SRR3900288	Shetland
SRR3900289	Shetland
SRR3900347	Shetland
SRR3900336	Shetland
SRR3900337	Shetland
SRR3900338	Shetland
SRR3900339	Shetland
SRR3900340	Shetland
SRR3900341	Shetland
SRR3900342	Shetland
SRR3900343	Shetland
SRR3900285	Shetland
SRR3900284	Shetland
SRR3900287	Shetland
SRR515218	Shetland
ERR868003	Shetland
ERR868004	Shetland
SRR3900345	Shetland
SRR3900346	Shetland
SRR3900350	Shetland
SRR3900351	Shetland
SRR3900282	Shetland
SRR3900298	Shetland
SRR3900315	Shetland
SRR3900279	Shetland
SRR3900280	Shetland
SRR3900352	Shetland
SRR3900353	Shetland
SRR3952018	Shetland
M10667	Shetland
M10668	Shetland
M10672	Shetland
M10673	Shetland
M10675	Shetland
M10676	Shetland
M10677	Shetland
M10678	Shetland
M10679	Shetland
M10681	Shetland
M10682	Shetland
M10683	Shetland
M10684	Shetland
M4809	Shetland
M4869	Shetland
M4990	Shetland
M5005	Shetland
M5112	Shetland
M6287	Shetland
M6304	Shetland
SRR3900283	Shetland
SRR3900290	Shetland
SRR3900344	Shetland
SRR3900286	Shetland
K745	Shetland
CUTR0137A	Standardbred
CUTR0138A	Standardbred
FRTR0139A	Standardbred
FRTR0023A	Standardbred
FRTR0024A	Standardbred
FRTR0025A	Standardbred
FRTR0026A	Standardbred
FRTR0027A	Standardbred
FRTR0140A	Standardbred
FRTR0028A	Standardbred
FRTR0029A	Standardbred
FRTR0030A	Standardbred
SRR5755256	Standardbred
SATR0021A	Standardbred
SATR0022A	Standardbred
SRR4054238	Standardbred
SRR4054239	Standardbred
M6117	Standardbred
M6138	Standardbred
M6137	Standardbred
M1433	Standardbred
M1458	Standardbred
M1005	Standardbred
M1009	Standardbred
M1012	Standardbred
M1027	Standardbred
M1048	Standardbred
M10996	Standardbred
M5256	Standardbred
M5259	Standardbred
M5260	Standardbred
M5269	Standardbred
M5271	Standardbred
M5287	Standardbred
M5300	Standardbred
M5304	Standardbred
M5306	Standardbred
M968	Standardbred
M977	Standardbred
M989	Standardbred
M992	Standardbred
STAN0149A	Standardbred
M8679	Standardbred
M8738	Standardbred
M10664	Standardbred
SRR2102500	Standardbred
M6184	Standardbred
M6167	Standardbred
M6175	Standardbred
M6188	Standardbred
M6850	Standardbred
M6911	Standardbred
M6991	Standardbred
M6993	Standardbred
M6115	Standardbred
M6122	Standardbred
M6130	Standardbred
M6163	Standardbred
M6166	Standardbred
M6182	Standardbred
M6187	Standardbred
M6105	Standardbred
M6194	Standardbred
M6202	Standardbred
ERR1527970	Standardbred
BAVA0183A	TB
BW01	TB
ERR1545179	TB
ERR1545182	TB
ERR1545187	TB
ERR1545188	TB
ERR1545180	TB
ERR1545181	TB
ERR1545190	TB
ERR1545189	TB
ERR1545178	TB
HANO0172A	TB
K746	TB
K747	TB
SRR1046151	TB
SRR2142163	TB
SRR2142269	TB
SRR1046147	TB
HOLS0173A	TB
HOLS0174A	TB
HOLS0175A	TB
ERR1527967	TB
OLDE0176A	TB
OLDE0177A	TB
SRR2142311	TB
M10657	TB
M10656	TB
RAO310	TB
RAO441	TB
ERR1527972	TB
SRR515206	TB
SRR515215	TB
SRR2103372	TB
SRR515203	TB
SRR3900281	TB
SRR4054241	TB
SRR641364	TB
SRR641365	TB
SRR641366	TB
SRR641367	TB
SRR505867	TB
SRR515202	TB
SRR515204	TB
SRR515205	TB
SRR515208	TB
SRR515209	TB
SRR515217	TB
SRR515211	TB
SRR515212	TB
SRR515213	TB
SRR515214	TB
SRR515216	TB
SRR6374293	TB
ADM9	TB
ADR419	TB
ADR420	TB
ADR421	TB
ADR422	TB
ADR423	TB
ADR424	TB
ADR425	TB
M8457	TB
M8466	TB
M8461	TB
M8458	TB
M8465	TB
M8464	TB
M8463	TB
M8459	TB
M8467	TB
M8460	TB
M1503	TB
M1505	TB
M1506	TB
M1507	TB
M1510	TB
M1514	TB
M1516	TB
M1518	TB
M1519	TB
M1555	TB
SRR2102896	TB
SRR4054240	TB
M11022	TB
TRAK0178A	TB
TRAK0179A	TB
UKH3	TB
M10662	TB
M10663	TB
WEST180A	TB
WEST181A	TB
M6572	Welsh Pony
M6576	Welsh Pony
M6577	Welsh Pony
M6579	Welsh Pony
M6231	Welsh Pony
M6566	Welsh Pony
M6660	Welsh Pony
M7681	Welsh Pony
M7700	Welsh Pony
M7721	Welsh Pony
M7723	Welsh Pony
M7761	Welsh Pony
M7762	Welsh Pony
M7763	Welsh Pony
M7789	Welsh Pony
M7814	Welsh Pony
M7818	Welsh Pony
M7836	Welsh Pony
M7844	Welsh Pony
M7756	Welsh Pony
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
